id,name
1,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.
2,GTD MANQUEHUE S.A.
3,COMPLEJO MANUFACTURERO DE EQUIPOS TELEFÓNICOS S.A.C.I.
4,ENTEL TELEFONÍA LOCAL S.A.
5,CIBELES TELECOM  S.A.
6,VTR BANDA ANCHA (CHILE) S.A.
7,GTD TELESAT S.A.
8,CLARO SERVICIOS EMPRESARIALES S.A.
9,CLARO COMUNICACIONES S.A.
10,"COMPAÑÍA NACIONAL DE TELÉFONOS, TELEFÓNICA DEL SUR S.A."
11,WILL S.A.
12,STEL ACCESS S.A.
13,CHILE.COM
14,IFX NETWORKS CHILE S.A.
15,NETLINE TELEFÓNICA LTDA.
16,FULLCOM S.A.
17,ENTEL TELEFONIA LOCAL S.A.
18,QUANTAX S.A.
19,CONVERGIA TELECOM S.A.
20,RURAL TELECOMMUNICATIONS CHILE S.A.
21,TELESTAR S.A.
22,NETEL S.A.
23,PRONTO IP LTDA.
24,TELEFÓNICA MOVIBLE S.A.
25,TELECOMUNICACIONES NET UNO LTDA.
26,REDVOISS S.A.
27,CLARO CHILE S.A.
28,COMPAÑÍA CHILENA DE COMUNICACIONES PARALLEL S.A.
29,CIBELES TELECOM S.A.
30,SERVICIOS INTERNET LIMITADA
31,VTR COMUNICACIONES SpA.
32,OPTIC TELECOMUNICACIONES LTDA.
33,TELEFÓNICA CHILE S.A.
34,LINKSAT COMUNICACIONES SPA.
35,CLARO SERVICIOS S.A.
36,CHILE.COM S.A.
37,COMUNICACIÓN Y TELEFONÍA RURAL S.A.
38,TELEFONICA DEL SUR S.A.
39,SEL S.A.
40,"ANURA CHILE S,A,"
41,OPS INGENIERÍA LIMITADA
42,CABLE HOGAR LIMITADA
43,NETLATIN S.A.
44,FIBERSAT COMUNICACIONES S.A.
45,TELECO CHILE S.A.
46,PACIFICO CABLE S.p.A.
47,COMPANION VOIP S.A.
48,CHILE TV CABLE S.A.
49,"CLAUDIO ESTEBAN FORNO MARTINEZ, ASESORÍA TÉCNOLOGICA E INFÓRMATICA ITD EIRL"
50,NÓMADE TELECOMUNICACIONES S.A.
51,VOIP ANALYSIS S.A.
52,SOCIEDAD DE TELECOMUNICACIONES Y SERVICIOS SpA.
53,INVERSIONES SANTA FE LIMITADA
54,CONNECTUS LIMITADA
55,CAUDALES TELECOMUNICACIONES GLOBALES LIMITADA
56,INDUSTEL CHILE LTDA
57,NEW BORDER TELECOM SPA
58,ANDES INVERSIONES SPA
59,INTICOTEL SPA
60,JUMPER TELECOM S.p.A.
61,CELLPLUS S.p.A.
62,ORBYTA SPA
63,MOVILIP SERVICIOS DE TELEFONÍA Y REDES IP SPA.
64,SERVICIOS TECNOLÓGICOS ITD CHILE LIMITADA
65,COMERCIALIZADORA ELECTRÓNICA SPA
66,SOPORTE OFICINA SPA
67,CASA SERRA TELECOM SPA
68,HABLAIP SPA
69,LLEIDANET CHILE SPA
70,SYSTEL S.A.
71,BELINK SPA.
72,GTD MANQUEHUE S.A
73,NETGLOBALIS TELECOM S.A.
74,TELEFONICA CHILE S.A.
75,COMPAÑÍA DE TELÉFONOS DE COYHAIQUE S.A.
76,TELEFÓNICA DEL SUR S.A.
77,TELEFÓNICA MÓVILES CHILE S.A.
78,MOBILINK S.A.
79,NEXTEL S.A.
80,ENTEL PCS TELECOMUNICACIONES S.A.
81,TESAM CHILE S.A.
82,TELEFÓNICA VIVA S.A.
83,TELECOMUNICACIONES MAX LTDA.
84,VTR MÓVIL S.A.
85,CELUPAGO S.A.
86,MAVI S.A.
87,TELESTAR MÓVIL S.A.
88,NETLINE TELEFÓNICA MÓVIL LTDA.
89,SOCIEDAD COMERCIAL Y DE INGENIERÍA SWEDCOM S.A.
90,TELEVISION INTERACTIVA S.A.
91,BLUE TWO CHILE S.A.
92,TRIBE MOBILE SPA
93,TELECOMUNICACIONES DOTCOM LTDA.
94,SOCIEDAD FALABELLA MÓVIL SPA.
95,OPS INGENIERÍA LTDA.
96,TELESTAR MOVIL S.A.
97,ENTEL PCS S.A.
98,SIMPLE SPA
99,TELEFÓNICA UNO UNO CUATRO S.A.
100,TRIBE MOBILE CHILE SPA
101,VOIP ANALYSIS S.A
102,COMPATEL CHILE LIMITADA
103,TELEFONICA MÓVILES CHILE S.A.
104,EMPRESAS BUNKER S.A.
105,WOM S.A.
106,Claro Servicios Empresariales S.A.
107,OPS INGENIERÍA LIMITADA.
108,INVERSIONES SANTA FE LTDA.
109,PACÍFICO CABLE S.p.A.
110,INGENIUM OUTSOURCING SERVICES CHILE SPA.
111,CELLPLUSS SPA.
112,VTR COMUNICACIONES S.p.A.
113,SUMA MÓVIL CHILE SPA
